Index,Source Name,Time Written,Event ID,Record Number,Event Type,Event Category,Computer Name
1,Software Protection Platform Service,Mon Nov  7 13:31:32 2022,1073750057,12851,2,0,DHAIRYA-CHANGELA
2,Software Protection Platform Service,Mon Nov  7 13:31:25 2022,1073750057,12850,2,0,DHAIRYA-CHANGELA
3,Software Protection Platform Service,Mon Nov  7 13:31:18 2022,1073750057,12849,2,0,DHAIRYA-CHANGELA
4,Software Protection Platform Service,Mon Nov  7 13:31:11 2022,1073750057,12848,2,0,DHAIRYA-CHANGELA
5,RefreshRateService,Mon Nov  7 13:30:29 2022,0,12847,4,0,DHAIRYA-CHANGELA
6,RefreshRateService,Mon Nov  7 13:30:28 2022,0,12846,4,0,DHAIRYA-CHANGELA
7,Software Protection Platform Service,Mon Nov  7 13:30:27 2022,-1073725430,12845,4,0,DHAIRYA-CHANGELA
8,RefreshRateService,Mon Nov  7 13:30:26 2022,0,12844,4,0,DHAIRYA-CHANGELA
